Website,ArticleURL,ArticleTitle,ArticleDate,ArticleImage_url,ArticleContent
https://www.k24tv.co.ke/,https://www.k24tv.co.ke/entertainment/zuchu-announces-she-is-single-95631/,"Trouble In Paradise? Zuchu deletes Diamond’s photos, reveals she’s heartbroken & single","Sat, 18 Feb, 2023 13:29 | 2 mins read",https://i0.wp.com/www.k24tv.co.ke/wp-content/uploads/2022/08/BeFunky-collage1-2022-08-17T083515.567.jpg?resize=588%2C450&ssl=1,"Tanzanian singer Zuhura Othman Soud popularly known by her stage name Zuchu is spurring speculations following her announcement that she is now single.Zuchu broke the news via Snapchat where she posted a broken heart post, telling her fans that she is not in a relationship.While this could be just a mere ruse to gain clout, Zuchu at the same time, warned her fans not to tag her in any of her boyfriend's posts.""Don't tag me in his bullshit, I am single from now going forward. Thank you,"" Zuchu wrote.The Sukari hitmaker also deleted all the photos she has ever taken with her alleged Boyfriend Diamond Platnumz.Diamond started officially calling Zuchu “his girl” in 2022 and they’ve collaborated together musically.This, however, caught most fans by surprise since on Valentine's Day Diamond and Zuchu were gushing over each other online with the latter sharing a handwritten love letter.She shared details of the love letter with her fans, confessing how she has deeply fallen in love before sharing another photo with Diamond.""Happy Valentine's Day dear. Yes, I know you think I'm late, I'm not late because for us every day is Valentine's Day. That's why I didn't want to bring you anything yesterday (February 14) so that you know that yesterday is not just a day, but for us, every day is an important day,"" Diamond's message read.""Valentine's Day meant nothing to me before. I want you to know that I love you yesterday, today, tomorrow, every minute, and every second of our lives.""Diamond further prayed that his lover gets unparalleled happiness and God's abundant blessings in life.""May God fill your heart with happiness and your wallet with money so that you can buy more land and houses in Zanzibar,"" he wrote.Zuchu stated that she was overwhelmed saying;""I'm crying like a baby. He's going to kill me,"" she said alongside a photo of Diamond's letter that she showed on Wednesday.This follows Diamond's recent stunt where he introduced Zuchu as his wife during his elder sister Esma Platnumz's birthday party."
https://www.k24tv.co.ke/,https://www.k24tv.co.ke/lifestyle/15-gifts-to-give-your-loved-ones-this-valentines-day-94769/,15 gifts to give your loved ones this Valentine’s Day,"Tue, 14 Feb, 2023 10:00 | 2 mins read",https://i0.wp.com/www.k24tv.co.ke/wp-content/uploads/2023/02/Valentines-Day-gift.jpeg?resize=642%2C450&ssl=1,"Valentine's Day, a day dedicated to love and affection, is here once again.This day, that is celebrated annually on February 14, is all about expressing gratitude and appreciation towards loved ones, be it your significant other, family, or friends.Here's a list of gift ideas to help you make your loved one's day extra special.A piece of jewelry with a personal touch, such as a customized necklace or bracelet, is a timeless and sentimental gift.Plan a surprise trip for two to a romantic location, such as a beach or a city you both have always wanted to visit.A bouquet of their favourite flowers is a classic Valentine's Day gift that is always appreciated.Cook a romantic dinner at home or make reservations at a fancy restaurant to enjoy a special meal together.Treat your loved one to a unique experience, such as a concert, a cooking class, or a wine tasting.Write a heartfelt love letter or a series of love notes to be opened throughout the day or week.Treat your loved one to a relaxing spa day, complete with massages, facials, and other pampering treatments.Give him or her a book that you think they would love, whether it's a romantic novel, a motivational book, or a cookbook.Gift them a special keepsake, such as a photo album or a scrapbook, filled with memories of your time together.Simple acts of love and kindness, such as helping them do their favourite chores or making them breakfast in bed, can mean just as much as a physical gift.If your loved one enjoys cooking or baking, sign them up for a class. You can take the class together, or you can give the gift of a cooking or baking lesson as a solo experience.Create a photo album or scrapbook that highlights your time together. Add your favourite photos, notes, and mementos.Create a memory box filled with mementos from your time together. This can include tickets from events you attended, cards from special occasions, or even small gifts you’ve given each other over the years.Give the gift of a subscription service such as a monthly flower delivery, a monthly food delivery, or a monthly magazine subscription.Create a personalized gift basket filled with items that your loved one will love. You can include items like chocolates, wine, bath products, or a special book.These are just a few of the many gift ideas that you can consider giving your loved one this Valentine's Day. The key thing is to find something that is meaningful and personal to them. No matter what you choose to give, the most important thing is the thought and love you put into it.Happy Valentine's Day!"
https://www.k24tv.co.ke/,https://www.k24tv.co.ke/entertainment/pesh-released-from-prison-95679/,Kenyan socialite Pesh released from prison in Ghana after spending nearly 10 years behind bars,"Sat, 18 Feb, 2023 18:03 | 3 mins read",https://i0.wp.com/www.k24tv.co.ke/wp-content/uploads/2023/02/BeFunky-collage-78.jpg?resize=697%2C450&ssl=1,"The Kenyan socialite Peninah Lema Munyithya popularly known as Pesh has been released from Ghanaian prison having served at least three-quarters of her 10-year sentence.Pesh revealed she was out of prison when she changed her Facebook profile picture on February 11, 2023.The voluptuous socialite further posted an inspirational quote in a subsequent post after changing her profile picture.""Positivity should always drive you,"" Pesh wrote.The socialite also shared a video of herself dancing to a song as she enjoyed her newfound freedom.Before her latest posts, Pesh was last seen on Facebook on July 29, 2015, as she announced that she was at the Jomo Kenyatta International Airport (JKIA) en route to Ghana for a 'holiday'.“Thanks to God dreams coming tru…. another holiday for her majesty. #Ghana!” Pesh posted on Facebook.Pesh was arrested in July 2015, at an airport in Ghana while trafficking drugs.The Kenyan socialite rose to fame in early 2015 after sharing her birthday suit photos which went viral on social media.Pesh was still a student at MKU pursuing a degree in Project Management when she got famous.Lydiah Wairimu, who claimed to have schooled with Pesh, said the socialite's newfound fame attracted a Nigerian drug dealer who exploited her naivety.Wairimu said the drug baron used Pesh to traffic drugs, revealing that he took her to Ghana where she was to ferry drugs to Seychelles.However, the Kenyan socialite was arrested at the airport as she was boarding a flight to the Indian Ocean island nation.Pesh was subjected to the Ghanaian justice system and was found guilty of drug trafficking and subsequently sentenced to 10 years in prison.The Kenyan socialite was expected to be released from a Ghanaian prison sometime in 2025 but she was released early after serving seven years in jail.Lydiah Wairimu narrated exactly how the socialite ended up in prison. She said Pesh’s craving for a lavish lifestyle was what landed her in trouble.“Wuuuii I do feel pain for Pesh. She was my campo student mate at MKU back in 2014 she was doing a degree in project management. Peers pushed her to bad company. She had the figure naturally. So akaanza socialiting. Her first trip was Dubai. Kwa zile harakati she met a Naija who showed her good life here and money. Little did she know the Nigerian is a drug dealer,” Lydiah Wairimu narrated in part in a Facebook post.She added that;“So the day Pesh was leaving Ghana the guy hired a taxi to take her to the airport kumbe zile manguo amepack tonnes en tonnes of drugs ndio hakutala kumpeleka airport.”Lydiah stated that the Nigerian drug dealer who was using Pesh to traffic drugs had multiple identities, adding that Ghanaian authorities couldn’t trace the Nigerian with the names Pesh gave them.“Poor girl she didn’t know she was being used by the naija men to transport drugs. So innocently she arrived@ Ghana airport bag kaenda checking kawaida. ikapatikana drugs worth 30m ksh. She was not aware akafungiwa cell ya airport next day to court kuhonjiwa where she came frm, who sent her their phone numbers everything was fake hawangepatikana.”"
https://www.k24tv.co.ke/,https://www.k24tv.co.ke/news/kbl-suffers-major-blow-after-losing-attempt-to-stop-distributor-from-supplying-products-countrywide-95591/,KBL suffers major blow after losing attempt to stop distributor from supplying products countrywide,"Fri, 17 Feb, 2023 19:18 | 3 mins read",https://i0.wp.com/www.k24tv.co.ke/wp-content/uploads/2023/02/WhatsApp-Image-2023-02-17-at-19.17.19.jpeg?resize=588%2C332&ssl=1,"Kenya Breweries Limited (KBL) has suffered a major blow after it lost an attempt to stop distributor Bia Tosha from supplying its products across the country.In a judgment rendered by the Supreme court on Friday, February 17 overturned a decision of the Court of Appeal to lift High Court temporary orders that had granted Bia Tosha one of the largest beer distributors in Kenya the exclusive right to supply beer in 22 areas in Nairobi pending determination of a petition involving partnership dispute.In their decision, the Supreme Court five-judge bench led by Deputy Chief Justice Philomena Mwilu have also reversed the Court of Appeal's decision to refer the dispute to arbitration per the respective parties’ distributorship agreements.Further, the apex court has remitted the case to the High Court for disposal of the Petition dated June 20, 2016, on the issue of a partnership between the parties on a priority basis considering the age of the matter.The Supreme Court, while ruling on an appeal filed by Bia Tosha, reinstated the temporary orders issued by the High Court preserving the Bia Tosha's distribution territory exclusively to it.The High Court orders had been issued on June 29, 2016, by Justice Joseph Onguto, pending the hearing and determination of the petition filed by Bia Tosha challenging repossession of the routes and refund of Sh27.3 million it had paid the Kenya Breweries as goodwill in 2005.While granting Bia Tosha the exclusive right to supply beer in the areas, the judges noted that the Court of Appeal erred when it overturned the ruling by the High Court.""This was by failing to appreciate and uphold that the dispute before the court related to a breach of constitutional rights. In issuing the relief countermanding that was made by the High Court and by referring the matter to the arbitrator, and making a full and final determination on matters still pending before the High Court, the Court of Appeal fell into further error,"" Justice Mwilu led bench stated.The decision comes after Bia Tosha appealed a decision by the Court of Appeal ruling dated July 10, 2020, that Kenya Breweries Limited had been allowed to repossess some routes from it and reallocate them to other distributors, who could not access the market areas.The Appeal Court also referred Kenya Breweries Limited and Bia Tosha to arbitration as per their distribution agreement while dispensing an application for contempt and arrest of EABL executives.Further, the Supreme Court has directed the High Court to consider the consequences of any disobedience of the orders issued by Justice Onguto. It found there was contempt on the part of EABL and UDV (Kenya) Limited for interfering with some routes.""Having overturned the Court of Appeal judgment and having established that there was contempt of court, the same should not go unpunished. We direct the High Court to, based on our finding on contempt, issue suitable punishment for contempt of court on a priority basis as it deals with the petition pending before it on its merits,"" said the Supreme court.""Having found that there was contempt of court, the High Court should also proceed to assess the suitable punishment arising out of the contempt application dated August 23, 2016, by Boa Tosha pending before it."" the Apex court judges ruledThe 22 routes that Bia Tosha claimed exclusive control and which had been repossessed and given to other companies are Namanga, Bissil, Kajiado, Kitengela, Athi River, Industrial Area, South B, and Nairobi West.Others are Kenyatta, Langata, Rongai, Kiserian, Magadi, Upperhill, Ngong Road, Hurlingham, Kawangware, Satellite, Dagoretti, UDV A, UDV B, and UDV C.The genesis of the matter started in 1997 when the partnership between Bia Tosha and EABL was entered when the former was appointed as a distributor for the later's products within Gachie, Mwimuto, Kanunga, Kiambaa, Banana, Karura, Gathanga, Ndenderu, Ndumberi, Tinganga, Riabai, Kanguya, Wangige, and Ridgeways.Subsequently, in the year 2000, through a letter dated July 20, 2000, Bia Tosha was offered new distribution areas namely Baba Dogo, Kariobangi North, Dandora I, and Dandora II on the condition that it would pay a non-refundable goodwill of Sh6,630,000 to the Kenya Breweries.In the year 2006, Bia Tosha’s territory grew and included areas of Namanga, Bissil, Kajiado, Kitengela, Athi River, Industrial Area, South B, Nairobi West, Kenyatta, Langata, Rongai, Kiserian, Magadi, Upperhill, Ngong Road, Hurlingham, Kawangware, Satellite, Dagoretti, UDV A, UDV B, and UDV C.For these territories, the distributor was asked to pay goodwill amounting to Sh31,668,000 out of which it paid Sh27.3 million.Sometime thereafter, the Kenya Breweries re-possessed Baba Dogo, Dandora I and II, and Kariobangi North, from Bia Tosha to enable the brewer to serve the new areas and Bia Tosha requested to be refunded the goodwill for the territories that were repossessed.This, the Kenya Breweries declined, indicating that the amounts were non-refundable, and further claimed that it was within their discretion to appoint other distributors as the agreement was non-exclusive. This ignited the dispute after Kenya Breweries assigned other distributors in the area."
https://www.k24tv.co.ke/,https://www.k24tv.co.ke/news/makueni-man-fined-for-threatening-to-kill-mother-95668/,"Makueni: Man fined Ksh100,000 for threatening to kill his mother","Sat, 18 Feb, 2023 16:18 | 2 mins read",https://i0.wp.com/www.k24tv.co.ke/wp-content/uploads/2023/01/cropped-court-hammer-730x411-2-1-1-1.jpg?resize=730%2C411&ssl=1,"A 33-year-old man was on Friday, February 17, 2023, fined Ksh100,000 by a Makueni court for threatening to kill his mother.Appearing before Resident Magistrate Elizabeth Kemei, the accused Kyalo Nzomo was found guilty of threatening to kill his mother Norah Nzomo Francis.Nzomo committed the offence on January 3, 2023, at 10:00 pm at Ikaasu village, Ituka sub-location in the Kathonzweni location.The accused was armed with a metal rod at his mother’s house when he threatened to kill her.The accused threatened to kill his mother and burn her inside the house.Probation Officer Henricus Odero noted that although Nzomo is a first-time offender, he had been previously reported to the chief’s office and Kathonzweni police station for physically and verbally abusing his parents and stealing from family members.""Although this is the first time to convict Nzomo in a court of law, the offender has a tendency of committing offences, apologizing and reconciling with the family members, only to repeat the same offence,” Odero noted.The court heard that Nzomo's parents had to seek a one-day refuge in a neighbour's homestead in 2021 after the accused chased them away.His parents pleaded with the court to punish their son for the pain and disturbance he has subjected them to and rehabilitate him away from the community, far away from the excessive abuse of alcohol and drugs.The suspect was remorseful and pleaded for leniency from the court because he committed the offence while under excessive abuse of alcohol.""The offender is unsuitable for a non-custodial sentence because the social support structure has expressed unwillingness to accommodate him in the community in an event of immediate release due to his criminal tendencies,"" Odero added.The Court fined Nzomo Ksh100,000 or to serve a one-year sentence in prison.He has 14 days to appeal."
https://www.k24tv.co.ke/,https://www.k24tv.co.ke/lifestyle/5-ways-to-celebrate-valentines-day-in-the-village-95160/,DJ Afro and chill: 5 ways to celebrate Valentine’s Day in the village,"Tue, 14 Feb, 2023 06:00 | 3 mins read",https://i0.wp.com/www.k24tv.co.ke/wp-content/uploads/2023/02/Couple-hanging-out.jpg?resize=727%2C450&ssl=1,"Valentine’s Day often put some couples under a lot of pressure to impress, and it can become an uphill task in the village.Owing to the fact that the day is characterized with buying of gifts, making dinner plans and stuff of the sort, people living in the rural set-ups must be creative in order to make the day successful.This is especially due to the fact that the guys in the upcountry don't enjoy amenities that are splattered in the cities and major towns in Kenya.And the amenities might be a big deal. For instance, recently, governor Mutahi Kahiga came under immense pressure from lovebirds who demanded that he stops everything to first ensure there is Java and KFC in Nyeri town where couples can go for Valentine's Day dates.Anyway, how can folks in the villages where there are no roses, KFC, Java et al celebrate Valentine's Day?Below are some suggestions:Nearly all major shopping centres in Kenya have a choma zone where couples can go to on Valentine's Day and enjoy mutura, kachumbari, nyama chama, ugali among other delicacies.Go all out and spoil her with a stake of roasted goat meat then wash it down with a litre of coke and make the Valentine's Day memorable.The one advantage that remote areas have over the cities is the abundance of nature everywhere - rivers, forests and other cool stuff we see on Nat Geo.Cook your food and take her out and just chill by the river bank, on the beach or in a forest that has a nice umbrella canopy.At these picnic spots, you just surrender yourselves to nature and let romance take you to Venice or whatever destination it decides to take you.Folks in the villages can still buy their loved ones gifts as a way of celebrating Valentine's Day.Since romantic gifts are limited in the villages, you can actually be creative - like instead of sending her a glass of wine you do yoghurt, maziwa lala or even mursik whichever one she prefers. Instead of sending her red apples send her red tomatoes - one that somehow resembles the shape of the heart.Compliment that mursik and tomato with cards and walaaa... gorgeous Valentine's Day.For couples who are still dating, invite her over to your house or simbaa (boys' huts) and cook an assortment of your loved one’s favourite breakfast or dinner foods.For married couples or those in a 'come we try' kind of arrangement, try to cook her something nice - mokimo with milk tea, fish with brown ugali etc.Watching DJ Afro movies while chilling at home is another way folks upcountry could spend their Valentine's Day.Considering the fact that some homesteads don't have power or when it's there blackouts are frequent, just get a nice romantic movie on your phone and have it ready for Valentine's Day."
https://www.k24tv.co.ke/,https://www.k24tv.co.ke/lifestyle/facts-about-valentines-day-95122/,Facts about Valentine’s Day,"Tue, 14 Feb, 2023 08:00 | 2 mins read",https://i0.wp.com/www.k24tv.co.ke/wp-content/uploads/2023/01/pexels-photo-6798405.jpeg?resize=675%2C450&ssl=1,"Valentine's Day is one of the popular holidays when people celebrate love.While it is common among lovers, the holiday has expanded to expressions of affection among relatives and friends who exchange valentines with one another.The day is popular in the United States as well as in Britain, Canada, and Australia, and it is also celebrated in other countries, including African countries where it is now gaining traction.In the Philippines, it is one of the most common wedding anniversaries, and hundreds of mass weddings are not uncommon on that date.Here’s a look at Valentine’s Day, celebrated every February 14.Several theories have been coined to explain the origin of Valentine’s Day.One of the theories suggests Valentine's Day originated from the Lupercalia festival held by ancient Romans in mid-February.The festival, which celebrated the coming of spring, included fertility rites and the pairing off of women with men by lottery.However, at the end of the 5th century, it is said that Pope Gelasius forbid the celebration of Lupercalia and is sometimes attributed with replacing it with St. Valentine’s Day, but the true origin of the holiday is vague at best.Valentine’s Day did not come to be celebrated as a day of romance until about the 14th century.The early Christian church had at least two saints named Valentine.One story says that Valentine was an early Christian who was imprisoned for refusing to worship the Roman gods. His friends tossed notes to him through his cell window.Other accounts hold that it was St. Valentine of Terni, a bishop, for whom the holiday was named, though it is possible the two saints were actually one person.Another says that Valentine's day may have also taken its name from a priest who was martyred about 270 CE by the emperor Claudius II Gothicus.Emperor Claudius II forbade young men to marry because he believed unmarried men made better soldiers. A priest named Valentine secretly married young couples to spare their husbands from war.Sources say the priest signed a letter “from your Valentine” to his jailer’s daughter, whom he had befriended and, by some accounts, healed from blindness. It is for this reason that his feast day is associated with love.Many stories say that Valentine was executed on February 14 about 269 AD.Cupid is a well-known symbol of Valentine’s Day. He is armed with a bow and arrows in order to pierce people’s hearts.In Roman mythology, Cupid is the son of Venus, the goddess of love and beauty.In ancient Greece, Cupid was known as Eros, the young son of Aphrodite, the goddess of love and beauty.Valentine's Day is also among the holidays that Americans are known to spend billions of dollars to commemorate."
https://www.k24tv.co.ke/,https://www.k24tv.co.ke/entertainment/kenyan-celebrities-who-proposed-to-their-lovers-on-valentines-day-95370/,2023: Kenyan celebrities who proposed to their lovers on Valentine’s Day,"Wed, 15 Feb, 2023 13:24 | 2 mins read",https://i0.wp.com/www.k24tv.co.ke/wp-content/uploads/2023/02/I-love-you-banner.jpg?resize=677%2C450&ssl=1,"Several celebrity couples showered their lovers with sweet messages on Valentine's Day.Valentine's Day in 2023 was a love-filled swoon fest with all sorts of grand gestures, magnificent rose boxes and lavish shenanigans from celebs who went all out for their loved ones.Some celebrities went a notch higher to propose to their loved ones on the International Lover's day.Here are some celebrities who decided to take their unions to the next level;Controversial comedian Eric Omondi proposed to his longtime girlfriend Lynn Njehia.Sharing the news, Lynn uploaded a photo showing off her ring with a caption;""New Chapter Same Book💍❤️ Words Can’t Express How Happy I Am, I Love You Babyyy @ericomondi#lovergirl #outofthemarket.""On his part, the funnyman gushed over his lover as he affirmed that he had made a good choice of a wife.""Happy Valentine's baby❤💍…🌹🌹🌹 to a new Chapter.❤❤""Bomet Woman Representative also marked International Lover's Day with an announcement of her engagement.The lawmaker shared photos of her lover Godfrey Kimutai Tanui proposing to her at a private ceremony.Toto shared the news on her Facebook account announcing that she had said 'Yes' to her lover's marriage proposal.""And I finally said YES. Happy valentine's day sweetheart I love you💕💕.. Congrats you are one in a million may God be with us on this journey 🙏..I love you, sweetheart,"" she posted.Legendary rapper Jackson Makini aka Prezzo also popped the big question to his apparent girlfriend, NRG Radio presenter Azeezah Hashim.Prezzo surprised the ‘Teen Republik’ presenter at the NRG studios carrying a bouquet of red roses.Prezzo, 43, and Azeezah, 22, got engaged amid cheers from her colleagues, with a guitarist also serenading the lovebirds on their special day."
https://www.k24tv.co.ke/,https://www.k24tv.co.ke/entertainment/mbosso-speaks-after-accident-95512/,Mbosso speaks after surviving road accident in US,"Thu, 16 Feb, 2023 19:43 | < 1 min read",https://i0.wp.com/www.k24tv.co.ke/wp-content/uploads/2023/02/mbosso-biography-real-name-net-worth-age-child-girlfriend-country-house-cars-2021-02-08_23-16-24_020000-ubetoo-1.jpg?resize=589%2C450&ssl=1,"Bongo star Mbwana Yusuf Kilungi popularly known as Mbosso Khan has finally spoken after he was involved in a road accident in the USA on Tuesday, February 14, 2023.In a series of insta stories shared, the bongo music sensation confirmed that he was safe and was all set to continue with his schedule as planned.""Nawashukuru sana kwa messeji zenu za pole zimenifikia, zipo ambazo nimezijibu na zingine bado nyingi sana sijajibu, ninafahamu kua pole zimenifiikia, naendelea vizuri kabisa, yaani niko sawa, na kwa sababu niko sawa ratiba lazima ziendelee vile vile. Kwa hivyo nawashukuru sana. Kesho ntasafiri kutoka hapa Seattle kuelekea Colorado ambapo ntafanya show ya kwanza tarehe 17 na 18. Dallas na Texas tunakutana tarehe 24 na Houston tunakutana tarehe 25,"" he stated.This loosely translates to:""I am very grateful for your sorry messages that have reached me, I have responded to some, and others I have been unable to answer. I am doing very well and because I am doing well, the schedule for my music tour will continue as planned. Tomorrow I will be travelling to Colorado where I will be doing my first show on the 17th and 18th. Dallas and Texas we will meet on the 24th while Houston we will meet on the 25th,""Earlier, the singer had shared a video announcing that he had been involved in an accident where he sustained injuries on his ribs, shoulder and spine.His fans were worried that he may have to cancel the much-anticipated tour shortly after the news emerged.In the videos shared, his car seemed to have been hit on the passenger's side where he was seated by an oncoming vehicle."
https://www.k24tv.co.ke/,https://www.k24tv.co.ke/news/ruto-appoints-billionaire-raval-95696/,Ruto appoints billionaire Narendra Raval to lead national lottery task force,"Sat, 18 Feb, 2023 19:08 | 2 mins read",https://i0.wp.com/www.k24tv.co.ke/wp-content/uploads/2023/02/Businessman-2520Narendra-2520Raval-2520-2528left-2529-2520gifting-2520President-2520William-2520Ruto-2520-2528right-2529-2520in-25202022.jpg?resize=470%2C235&ssl=1,"President William Ruto has officially appointed billionaire Narendra Raval to lead the task force that will establish the National Lottery.In a gazette notice dated Friday, February 17, 2023, the Head of State noted that the proceeds from the lottery will be used to help the needy.The 25-member task force will be structured into two tiers; the Steering Committee will be deputised by Gideon G Thuranira and the Technical Committee which will be headed by Linda Musumba.""To harness the collective synergies among the public in being part of the solution through participating in a national lottery whose proceeds will contribute towards good causes and the amelioration of the plight of persons in need,""It is notified that his Excellency Hon. William Samoei Ruto has appointed a Presidential Taskforce on the establishment of a national lottery which shall be structured in two tiers,"" the notice reads in parts.Other members of the steering committee include; Principal Secretary, National Treasury, or his Representative, Principal Secretary Interior or his representative, Principal Secretary, Social Protection or his representative, Representative of Governors, Paul Russo, Judith Karigu Kiragu, Anne Wakathiru Njenga, Grace Kaman, Abdillahi K. Mutwafy and Jackline Chelangat Tonui.The technical committee on the other hand will comprise Wanjiku Wakogi, Eric Aligula, Collins Kiprono, Peter Mbugi, Fred Mbasi, Geoffrey Malombe, Eric Korir, Wilson Njenga, Catherine Ochanda and Murimi Murage.Following the appointments, the committee will be expected to undertake a comprehensive review of the best practices for the establishment of national lotteries in other jurisdictions.It is also required to develop the policy and implementation plan that will guide the establishment and operationalization of the lottery.At the same time, the committee will be required to facilitate the necessary consultations with all key stakeholders in the country on the establishment of the national lottery.Further, the committee will also examine the existing administrative, institutional, policy, and legislative structures and systems in the betting and gaming industry and subsequently recommend comprehensive reforms."
